epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,880.714,0.46364,0.52209,0.66306,0.90985,0.99354,1,0.995,0.88996,0.99354,1,0.995,0.88928,0.542,1.98184,0.83823,1.16849,0.000614,0.000614,0.000614
72,892.93,0.42564,0.59343,0.70455,0.9066,0.99364,1,0.995,0.87794,0.99364,1,0.995,0.91113,0.52064,1.75489,0.83,1.16139,0.0005942,0.0005942,0.0005942
73,905.497,0.41718,0.44846,0.61794,0.87462,0.99364,1,0.995,0.87794,0.99364,1,0.995,0.91113,0.52064,1.75489,0.83,1.16139,0.0005744,0.0005744,0.0005744
74,918.316,0.41984,0.50498,0.59135,0.88512,0.99393,1,0.995,0.87039,0.99393,1,0.995,0.91119,0.50769,1.42664,0.76968,1.14205,0.0005546,0.0005546,0.0005546
75,930.82,0.47316,0.54925,0.69529,0.86451,0.99393,1,0.995,0.87039,0.99393,1,0.995,0.91119,0.50769,1.42664,0.76968,1.14205,0.0005348,0.0005348,0.0005348
76,943.732,0.45519,0.46725,0.66399,0.91952,0.9939,1,0.995,0.88222,0.9939,1,0.995,0.91121,0.49275,1.17167,0.72803,1.11519,0.000515,0.000515,0.000515
77,957.145,0.36343,0.42492,0.62495,0.83844,0.9939,1,0.995,0.88222,0.9939,1,0.995,0.91121,0.49275,1.17167,0.72803,1.11519,0.0004952,0.0004952,0.0004952
78,970.058,0.40193,0.50124,0.69511,0.86971,0.994,1,0.995,0.88788,0.994,1,0.995,0.91012,0.48447,0.94509,0.70267,1.0319,0.0004754,0.0004754,0.0004754
79,982.866,0.47261,0.69568,0.65225,0.87926,0.994,1,0.995,0.88788,0.994,1,0.995,0.91012,0.48447,0.94509,0.70267,1.0319,0.0004556,0.0004556,0.0004556
80,995.521,0.41003,0.50681,0.60906,0.86909,0.99377,1,0.995,0.8768,0.99377,1,0.995,0.91012,0.50937,0.94599,0.71787,1.02539,0.0004358,0.0004358,0.0004358
81,1008.3,0.44129,0.57498,0.72376,0.9026,0.99377,1,0.995,0.8768,0.99377,1,0.995,0.91012,0.50937,0.94599,0.71787,1.02539,0.000416,0.000416,0.000416
82,1020.99,0.48338,0.57825,0.61977,0.88074,0.99372,1,0.995,0.90655,0.99372,1,0.995,0.90655,0.49481,1.05925,0.72981,1.0327,0.0003962,0.0003962,0.0003962
83,1033.48,0.37096,0.42486,0.56016,0.8552,0.99372,1,0.995,0.90655,0.99372,1,0.995,0.90655,0.49481,1.05925,0.72981,1.0327,0.0003764,0.0003764,0.0003764
84,1046.14,0.38725,0.48269,0.57129,0.86816,0.99381,1,0.995,0.91113,0.99381,1,0.995,0.91113,0.47294,1.26337,0.71578,1.05166,0.0003566,0.0003566,0.0003566
85,1058.58,0.34435,0.30965,0.5698,0.84048,0.99381,1,0.995,0.91113,0.99381,1,0.995,0.91113,0.47294,1.26337,0.71578,1.05166,0.0003368,0.0003368,0.0003368
86,1071.22,0.37502,0.44548,0.54954,0.85395,0.99392,1,0.995,0.89457,0.99392,1,0.995,0.91113,0.44893,1.32102,0.69217,1.03381,0.000317,0.000317,0.000317
87,1083.72,0.43638,0.48254,0.58032,0.86235,0.99392,1,0.995,0.89457,0.99392,1,0.995,0.91113,0.44893,1.32102,0.69217,1.03381,0.0002972,0.0002972,0.0002972
88,1096.34,0.38599,0.43089,0.55868,0.83833,0.99392,1,0.995,0.90841,0.99392,1,0.995,0.91113,0.44712,1.23761,0.67846,1.0153,0.0002774,0.0002774,0.0002774
