epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,76.3049,0.52559,0.48637,0.67795,0.85047,1,0.8832,0.995,0.77384,1,0.8832,0.995,0.81648,0.65901,1.01197,1.50597,0.9462,0.0009704,0.0009704,0.0009704
54,77.7538,0.56291,0.53598,0.74685,0.91872,1,0.96855,0.995,0.79289,1,0.96855,0.995,0.79871,0.7592,1.3946,1.39261,0.99484,0.0009506,0.0009506,0.0009506
55,79.1371,0.61909,0.6475,0.81243,0.94592,1,0.96855,0.995,0.79289,1,0.96855,0.995,0.79871,0.7592,1.3946,1.39261,0.99484,0.0009308,0.0009308,0.0009308
56,80.5636,0.61172,0.52286,0.71677,0.90024,1,0.99718,0.995,0.84403,1,0.99718,0.995,0.80672,0.73431,2.05067,1.21403,1.00904,0.000911,0.000911,0.000911
57,81.9638,0.46778,0.54207,0.62245,0.84126,1,0.99718,0.995,0.84403,1,0.99718,0.995,0.80672,0.73431,2.05067,1.21403,1.00904,0.0008912,0.0008912,0.0008912
58,83.3759,0.49834,0.55124,0.70517,0.88716,0.9894,1,0.995,0.81501,0.9894,1,0.995,0.79088,0.7146,2.02948,0.98614,1.03287,0.0008714,0.0008714,0.0008714
59,84.7606,0.57543,0.48399,0.71671,0.92707,0.9894,1,0.995,0.81501,0.9894,1,0.995,0.79088,0.7146,2.02948,0.98614,1.03287,0.0008516,0.0008516,0.0008516
60,86.1945,0.64384,0.44861,0.70745,0.93619,0.99298,1,0.995,0.80004,0.99298,1,0.995,0.81827,0.73775,1.82588,0.90361,1.04128,0.0008318,0.0008318,0.0008318
61,87.7143,0.58515,0.54345,0.69283,0.95847,0.99298,1,0.995,0.80004,0.99298,1,0.995,0.81827,0.73775,1.82588,0.90361,1.04128,0.000812,0.000812,0.000812
62,89.1204,0.51936,0.46913,0.63868,0.88141,0.99361,1,0.995,0.80386,0.99361,1,0.995,0.7973,0.80679,1.76255,0.89112,1.08395,0.0007922,0.0007922,0.0007922
63,90.5015,0.51888,0.45103,0.66031,0.88372,0.99361,1,0.995,0.80386,0.99361,1,0.995,0.7973,0.80679,1.76255,0.89112,1.08395,0.0007724,0.0007724,0.0007724
64,91.9166,0.57418,0.58848,0.67317,0.91058,0.99404,1,0.995,0.77317,0.99404,1,0.995,0.77491,0.80993,1.79248,0.91162,1.09525,0.0007526,0.0007526,0.0007526
65,93.2928,0.54371,0.46307,0.65374,0.91309,0.99404,1,0.995,0.77317,0.99404,1,0.995,0.77491,0.80993,1.79248,0.91162,1.09525,0.0007328,0.0007328,0.0007328
66,94.7164,0.49174,0.50603,0.6862,0.90066,1,0.8566,0.90597,0.78746,1,0.8566,0.90243,0.7938,0.69625,1.83219,0.88031,1.02789,0.000713,0.000713,0.000713
67,96.0959,0.44501,0.41382,0.57511,0.84636,1,0.8566,0.90597,0.78746,1,0.8566,0.90243,0.7938,0.69625,1.83219,0.88031,1.02789,0.0006932,0.0006932,0.0006932
68,97.5775,0.42131,0.38166,0.60788,0.87691,0.86793,0.875,0.89185,0.79757,0.86793,0.875,0.86942,0.81492,0.69314,1.63286,0.87992,1.04115,0.0006734,0.0006734,0.0006734
69,98.9603,0.44832,0.47057,0.59973,0.86953,0.86793,0.875,0.89185,0.79757,0.86793,0.875,0.86942,0.81492,0.69314,1.63286,0.87992,1.04115,0.0006536,0.0006536,0.0006536
70,100.393,0.4832,0.47073,0.61727,0.86764,0.87097,0.875,0.87757,0.80503,0.87097,0.875,0.87352,0.79732,0.67646,1.92192,0.93504,1.05013,0.0006338,0.0006338,0.0006338
71,101.928,0.54514,0.50046,0.68455,0.91476,0.87097,0.875,0.87757,0.80503,0.87097,0.875,0.87352,0.79732,0.67646,1.92192,0.93504,1.05013,0.000614,0.000614,0.000614
72,103.341,0.46573,0.3924,0.59795,0.88959,0.87395,0.875,0.8395,0.7841,0.87395,0.875,0.82839,0.76839,0.65113,1.89829,1.02491,1.069,0.0005942,0.0005942,0.0005942
73,104.718,0.43472,0.4245,0.6264,0.88162,0.87395,0.875,0.8395,0.7841,0.87395,0.875,0.82839,0.76839,0.65113,1.89829,1.02491,1.069,0.0005744,0.0005744,0.0005744
74,106.126,0.43178,0.38805,0.57906,0.89423,0.87403,0.875,0.80996,0.7066,0.87403,0.875,0.79643,0.72174,0.67222,1.97619,1.01027,1.05793,0.0005546,0.0005546,0.0005546
75,107.533,0.45124,0.45964,0.65752,0.86982,0.87403,0.875,0.80996,0.7066,0.87403,0.875,0.79643,0.72174,0.67222,1.97619,1.01027,1.05793,0.0005348,0.0005348,0.0005348
76,108.955,0.43782,0.46404,0.59666,0.88888,0.87081,0.875,0.85614,0.73636,0.87081,0.875,0.81331,0.75379,0.72952,1.79524,0.9179,1.07132,0.000515,0.000515,0.000515
77,110.482,0.49388,0.6073,0.6492,0.91308,0.87081,0.875,0.85614,0.73636,0.87081,0.875,0.81331,0.75379,0.72952,1.79524,0.9179,1.07132,0.0004952,0.0004952,0.0004952
78,111.901,0.381,0.35976,0.53449,0.87528,0.86926,0.875,0.89428,0.7881,0.86926,0.875,0.86375,0.75465,0.73555,1.7925,0.81085,1.0854,0.0004754,0.0004754,0.0004754
79,113.281,0.47927,0.42293,0.58411,0.87775,0.86926,0.875,0.89428,0.7881,0.86926,0.875,0.86375,0.75465,0.73555,1.7925,0.81085,1.0854,0.0004556,0.0004556,0.0004556
80,114.698,0.4293,0.48781,0.60873,0.90097,0.8737,0.875,0.93147,0.78401,0.8737,0.875,0.87518,0.77707,0.74461,1.95816,0.76411,1.10162,0.0004358,0.0004358,0.0004358
81,116.076,0.41061,0.4219,0.58551,0.86716,0.8737,0.875,0.93147,0.78401,0.8737,0.875,0.87518,0.77707,0.74461,1.95816,0.76411,1.10162,0.000416,0.000416,0.000416
82,117.514,0.44191,0.57405,0.60338,0.89404,0.99254,0.875,0.91056,0.77554,0.99254,0.875,0.87518,0.77707,0.74157,1.9593,0.75782,1.118,0.0003962,0.0003962,0.0003962
83,118.904,0.44184,0.44422,0.5587,0.87317,0.99254,0.875,0.91056,0.77554,0.99254,0.875,0.87518,0.77707,0.74157,1.9593,0.75782,1.118,0.0003764,0.0003764,0.0003764
84,120.323,0.44006,0.44894,0.55965,0.87247,0.8694,0.875,0.88618,0.75073,0.8694,0.875,0.85893,0.77005,0.75411,2.06317,0.76012,1.16576,0.0003566,0.0003566,0.0003566
85,121.743,0.41511,0.43688,0.52623,0.86598,0.8694,0.875,0.88618,0.75073,0.8694,0.875,0.85893,0.77005,0.75411,2.06317,0.76012,1.16576,0.0003368,0.0003368,0.0003368
86,123.148,0.41065,0.43908,0.59265,0.87706,1,0.85149,0.89074,0.75751,1,0.85149,0.87518,0.76894,0.74127,2.07894,0.74083,1.1814,0.000317,0.000317,0.000317
87,124.538,0.38548,0.34126,0.53954,0.8785,1,0.85149,0.89074,0.75751,1,0.85149,0.87518,0.76894,0.74127,2.07894,0.74083,1.1814,0.0002972,0.0002972,0.0002972
88,126.072,0.40756,0.40383,0.54136,0.85393,1,0.85697,0.88342,0.74779,1,0.85697,0.879,0.76934,0.76544,1.92059,0.73123,1.20837,0.0002774,0.0002774,0.0002774
89,127.487,0.37227,0.40432,0.54904,0.86557,1,0.85697,0.88342,0.74779,1,0.85697,0.879,0.76934,0.76544,1.92059,0.73123,1.20837,0.0002576,0.0002576,0.0002576
90,128.891,0.41619,0.48693,0.60283,0.87659,0.86957,0.875,0.86602,0.74334,0.86957,0.875,0.86292,0.79556,0.76547,1.81535,0.71717,1.21626,0.0002378,0.0002378,0.0002378
91,135.342,0.31811,0.38688,0.64693,0.82575,0.86957,0.875,0.86602,0.74334,0.86957,0.875,0.86292,0.79556,0.76547,1.81535,0.71717,1.21626,0.000218,0.000218,0.000218
92,136.81,0.33302,0.37663,0.70371,0.77701,0.86953,0.875,0.86348,0.75932,0.86953,0.875,0.86348,0.79778,0.73616,1.79009,0.69672,1.19365,0.0001982,0.0001982,0.0001982
93,138.178,0.28347,0.37163,0.64287,0.79762,0.86953,0.875,0.86348,0.75932,0.86953,0.875,0.86348,0.79778,0.73616,1.79009,0.69672,1.19365,0.0001784,0.0001784,0.0001784
94,139.654,0.32816,0.37717,0.76992,0.75419,0.89854,0.875,0.88045,0.79296,0.89854,0.875,0.88045,0.7836,0.73292,1.80907,0.66896,1.22641,0.0001586,0.0001586,0.0001586
95,141.024,0.30477,0.38786,0.63288,0.75221,0.89854,0.875,0.88045,0.79296,0.89854,0.875,0.88045,0.7836,0.73292,1.80907,0.66896,1.22641,0.0001388,0.0001388,0.0001388
96,142.546,0.28924,0.37705,0.6133,0.75834,0.89128,0.875,0.88111,0.80968,0.89128,0.875,0.87686,0.80725,0.73561,1.77795,0.65866,1.24277,0.000119,0.000119,0.000119
97,143.976,0.25572,0.31166,0.6167,0.80856,0.89128,0.875,0.88111,0.80968,0.89128,0.875,0.87686,0.80725,0.73561,1.77795,0.65866,1.24277,9.92e-05,9.92e-05,9.92e-05
98,145.384,0.28156,0.29752,0.58629,0.78672,0.88749,0.875,0.88115,0.8225,0.88749,0.875,0.8769,0.82024,0.74853,1.75165,0.6479,1.26109,7.94e-05,7.94e-05,7.94e-05
99,146.786,0.26296,0.32427,0.5777,0.75962,0.88749,0.875,0.88115,0.8225,0.88749,0.875,0.8769,0.82024,0.74853,1.75165,0.6479,1.26109,5.96e-05,5.96e-05,5.96e-05
100,148.19,0.24063,0.28842,0.56462,0.79411,0.88091,0.875,0.88104,0.82241,0.88091,0.875,0.87688,0.82023,0.7553,1.74074,0.62318,1.25857,3.98e-05,3.98e-05,3.98e-05
