epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,178.624,0.40906,0.41201,0.32314,0.91338,0.99377,1,0.995,0.92044,0.99377,1,0.995,0.94544,0.4133,0.46615,0.26054,0.89503,0.000515,0.000515,0.000515
77,181.073,0.44682,0.46936,0.34703,0.89841,0.99377,1,0.995,0.92044,0.99377,1,0.995,0.94544,0.4133,0.46615,0.26054,0.89503,0.0004952,0.0004952,0.0004952
78,183.594,0.43108,0.40947,0.32106,0.89534,0.99372,1,0.995,0.88827,0.99372,1,0.995,0.92458,0.43062,0.54014,0.27569,0.94642,0.0004754,0.0004754,0.0004754
79,185.891,0.43002,0.45105,0.327,0.88343,0.99372,1,0.995,0.88827,0.99372,1,0.995,0.92458,0.43062,0.54014,0.27569,0.94642,0.0004556,0.0004556,0.0004556
80,188.245,0.53343,0.59773,0.41373,0.94484,0.99361,1,0.995,0.85409,0.99361,1,0.995,0.88394,0.46952,0.66088,0.25463,1.03523,0.0004358,0.0004358,0.0004358
81,190.614,0.40991,0.44706,0.30493,0.86736,0.99361,1,0.995,0.85409,0.99361,1,0.995,0.88394,0.46952,0.66088,0.25463,1.03523,0.000416,0.000416,0.000416
82,192.967,0.39513,0.50831,0.30863,0.87721,0.99366,1,0.995,0.85186,0.99366,1,0.995,0.88766,0.46753,0.74475,0.2657,1.0475,0.0003962,0.0003962,0.0003962
83,195.296,0.45051,0.51982,0.3459,0.88253,0.99366,1,0.995,0.85186,0.99366,1,0.995,0.88766,0.46753,0.74475,0.2657,1.0475,0.0003764,0.0003764,0.0003764
84,197.637,0.45841,0.51334,0.3405,0.92223,0.9938,1,0.995,0.8524,0.9938,1,0.995,0.88885,0.47615,0.75683,0.27921,1.05483,0.0003566,0.0003566,0.0003566
85,199.99,0.38484,0.34755,0.30032,0.87178,0.9938,1,0.995,0.8524,0.9938,1,0.995,0.88885,0.47615,0.75683,0.27921,1.05483,0.0003368,0.0003368,0.0003368
86,202.334,0.40944,0.49095,0.31561,0.85063,0.99368,1,0.995,0.89352,0.99368,1,0.995,0.90092,0.46567,0.7336,0.28287,1.0656,0.000317,0.000317,0.000317
87,204.633,0.51464,0.57438,0.34364,0.94226,0.99368,1,0.995,0.89352,0.99368,1,0.995,0.90092,0.46567,0.7336,0.28287,1.0656,0.0002972,0.0002972,0.0002972
88,206.987,0.48383,0.39031,0.31896,0.90215,0.99365,1,0.995,0.90751,0.99365,1,0.995,0.9174,0.45227,0.73823,0.28389,1.0715,0.0002774,0.0002774,0.0002774
89,209.336,0.4024,0.40689,0.32677,0.91442,0.99365,1,0.995,0.90751,0.99365,1,0.995,0.9174,0.45227,0.73823,0.28389,1.0715,0.0002576,0.0002576,0.0002576
90,211.68,0.4115,0.40544,0.29128,0.87647,0.9937,1,0.995,0.9249,0.9937,1,0.995,0.91088,0.43683,0.76123,0.2713,1.06416,0.0002378,0.0002378,0.0002378
91,218.435,0.32993,0.29129,0.26422,0.80954,0.9937,1,0.995,0.9249,0.9937,1,0.995,0.91088,0.43683,0.76123,0.2713,1.06416,0.000218,0.000218,0.000218
92,220.819,0.39277,0.33339,0.3455,0.94443,0.99376,1,0.995,0.9241,0.99376,1,0.995,0.90992,0.42109,0.78201,0.25387,1.06141,0.0001982,0.0001982,0.0001982
93,223.129,0.3224,0.30927,0.25319,0.8001,0.99376,1,0.995,0.9241,0.99376,1,0.995,0.90992,0.42109,0.78201,0.25387,1.06141,0.0001784,0.0001784,0.0001784
94,225.455,0.32913,0.31542,0.27923,0.83934,0.9937,1,0.995,0.92165,0.9937,1,0.995,0.90698,0.41566,0.7844,0.2406,1.05704,0.0001586,0.0001586,0.0001586
95,227.749,0.28588,0.28069,0.25135,0.82135,0.9937,1,0.995,0.92165,0.9937,1,0.995,0.90698,0.41566,0.7844,0.2406,1.05704,0.0001388,0.0001388,0.0001388
96,230.052,0.29988,0.30997,0.23427,0.80549,0.99373,1,0.995,0.92977,0.99373,1,0.995,0.91673,0.42113,0.78342,0.23699,1.06285,0.000119,0.000119,0.000119
97,232.341,0.27468,0.28015,0.25008,0.83131,0.99373,1,0.995,0.92977,0.99373,1,0.995,0.91673,0.42113,0.78342,0.23699,1.06285,9.92e-05,9.92e-05,9.92e-05
98,234.683,0.27015,0.30083,0.25258,0.81674,0.99371,1,0.995,0.9293,0.99371,1,0.995,0.9293,0.41567,0.77711,0.22706,1.05651,7.94e-05,7.94e-05,7.94e-05
99,237.027,0.26764,0.3222,0.23671,0.81944,0.99371,1,0.995,0.9293,0.99371,1,0.995,0.9293,0.41567,0.77711,0.22706,1.05651,5.96e-05,5.96e-05,5.96e-05
100,239.392,0.29365,0.30796,0.23902,0.79803,0.99383,1,0.995,0.9293,0.99383,1,0.995,0.9293,0.40745,0.78577,0.22303,1.05045,3.98e-05,3.98e-05,3.98e-05
